EHI0,EHI1,EHI3,EHI7
32.19,34.73,33.72,32.79
31.6,34.25,33.59,33.72
30.2,35.15,33.25,33.89
32.11,34.27,33.88,32.67
31.21,33.96,33,33.06
31.3,34.44,32.63,33.23
32.43,34.95,33,33.01
32.83,34.61,32.27,32.77
31.55,35.01,31.7,35.01
32.69,,,
32.18,,,
,,,
,,,
32.06,34.92,34.44,33.5
31.67,34.98,34.64,33.37
31.94,35.27,33.12,32.48
30.51,34.82,33.03,33.74
31.41,34.82,33.01,33.66
29.93,34.16,33.92,33.17
32.14,35.12,,33.19
31.59,34.84,,
31.07,34.41,,
,,,
31.96,,,
31.29,,,
31.52,,,
31.59,,,
32,,,
30.37,,,
31.49,,,
31.7,,,
32.81,,,
31.46,,,
33.26,,,
31.21,,,
31.42,,,
30.25,,,
31.25,,,
31.07,,,
31.94,,,
30.32,,,
34.07,,,
31.75,,,
30.76,,,
30.97,,,
31.57,,,
30.6,,,
32.79,,,
30.89,,,
30.62,,,
31.44,,,
31.28,,,
32.38,,,
32.24,,,
32.35,,,
30.45,,,
32.53,,,
32.51,,,
31.65,,,
,,,
33.04,,,
31.85,,,
32.04,,,
31.02,,,
31.86,,,
31.35,,,
31.35,,,
31.31,,,
30.73,,,
32.61,,,
31.2,,,
31.01,,,
32.21,,,
30.49,,,
31.77,,,
29.87,,,
32.08,,,
30.16,,,
31.25,,,
31.14,,,
30.5,,,
32.52,,,
31.47,,,
29.36,,,
31.74,,,
31.87,,,
32.56,,,
31.83,,,
31.83,,,
31.6,,,
32.02,,,
30.85,,,
32.42,,,
,,,
30.99,,,
32.75,,,
32.65,,,
29.95,,,
32.29,,,
31.32,,,
31.74,,,
29.34,,,
32.35,,,
32.02,,,
32.95,,,
31.94,,,
31.15,,,
31.79,,,
30.7,,,
32.79,,,
31.95,,,
31.99,,,
30.89,,,
30.04,,,
31.49,,,
31.32,,,
31.91,,,
31.15,,,
29.97,,,
29.58,,,
31.59,,,
32.19,,,
31.94,,,
31.96,,,
31.69,,,
31.1,,,
30.28,,,
31.14,,,
